coord,row_letter,step_number,persona_id,persona_name,sector,monolith_platform,physical_asset,action_name,status,capital_at_risk_cr,impact_display,speed_display,vulnerability,agentic_plug,agent_registry_id,agent_registry_uri,agent_deployment_status,agent_iam_identity,agent_framework
C11,C,11,p03,Development & Reservoir Geologist,SUBSURFACE GEOSCIENCES,Petrel Geology / RMS / Gocad,Deepwater Semi-Submersible Floating Rig,Hydrocarbon Pore Volume (HCPV) Roll-Up,baseline,14,₹14 Cr / yr,2s vs 2 Hrs,Inconsistent bulk volume integrations lead to discrepancy between teams.,Standardized deterministic HCPV roll-up engine with audit-verified reserve tracking.,,,,,
C12,C,12,p03,Development & Reservoir Geologist,SUBSURFACE GEOSCIENCES,Petrel Geology / RMS / Gocad,Deepwater Semi-Submersible Floating Rig,Infill Well Trajectory Target Corridor Check,critical,65,₹65 Cr / yr,6s vs 8 Hrs,Well plan clips low-perm shale baffle; reduces initial production rate by 60%.,Geosteering sweetspot trajectory optimizer routing well path through P90 net pay.,,,,,
C13,C,13,p03,Development & Reservoir Geologist,SUBSURFACE GEOSCIENCES,Petrel Geology / RMS / Gocad,Deepwater Semi-Submersible Floating Rig,Multi-Well Sand-Body Connectivity Index,baseline,17,₹17 Cr / yr,5s vs 3 Hrs,Sand bodies modeled as continuous that are actually isolated channel pods.,Percolation theory connectivity agent calculating connected static sand volume.,,,,,
C14,C,14,p03,Development & Reservoir Geologist,SUBSURFACE GEOSCIENCES,Petrel Geology / RMS / Gocad,Deepwater Semi-Submersible Floating Rig,Geostatistical Collocated Cokriging (SGCO),baseline,13,₹13 Cr / yr,8s vs 4 Hrs,Porosity cube unconstrained by seismic impedance creates non-physical bullseyes.,Collocated cokriging engine integrating 3D seismic AI directly into porosity grids.,,,,,
C15,C,15,p03,Development & Reservoir Geologist,SUBSURFACE GEOSCIENCES,Petrel Geology / RMS / Gocad,Deepwater Semi-Submersible Floating Rig,Reservoir Architecture Static Model Handover,friction,20,₹20 Cr / yr,10s vs 3 Wks,500-page static model document takes 3 weeks to compile; simulator waits.,Autonomous static-to-dynamic model packager generating clean Eclipse decks.,,,,,
D1,D,1,p04,Drilling Operations Engineer,DRILLING & WELLS,Landmark WellPlan / Compass / Sysdrill,HPHT Wellhead Blowout Preventer (BOP) Stack,Casing Shoe Seat Selection vs Pore/Fracture,critical,95,₹95 Cr / yr,4s vs 8 Hrs,Shoe placed in weak fracture zone; blowout kick during next drilling section.,Deterministic casing seat optimizer selecting maximum kick tolerance depth.,casing_shoe_optimizer,projects/og-enterprise-prod/locations/us-central1/agents/casing_shoe_optimizer,Planned Wave 1,casing-shoe-agent@og-enterprise-prod.iam.gserviceaccount.com,Google ADK + Geomechanics
D2,D,2,p04,Drilling Operations Engineer,DRILLING & WELLS,Landmark WellPlan / Compass / Sysdrill,HPHT Wellhead Blowout Preventer (BOP) Stack,Anti-Collision Scanning vs Offset Wellbores,critical,120,₹120 Cr / yr,0.2s vs 1 Hr,Ellipse of uncertainty calculation lag; drill bit collides with live producer.,Real-time 3D travelling cylinder & error ellipse scanner with 0ms collision alert.,anti_collision_proximity_sentinel,projects/og-enterprise-prod/locations/us-central1/agents/anti_collision_proximity_sentinel,Planned Wave 1,anti-collision-agent@og-enterprise-prod.iam.gserviceaccount.com,Google ADK + Spatial Geometry
D3,D,3,p04,Drilling Operations Engineer,DRILLING & WELLS,Landmark WellPlan / Compass / Sysdrill,HPHT Wellhead Blowout Preventer (BOP) Stack,Circulating Hydraulics & ECD Management,critical,60,₹60 Cr / yr,1s vs Continuous,Equivalent Circulating Density exceeds fracture gradient; severe mud loss.,Real-time rheology hydraulics solver predicting downhole ECD.,,,,,
D4,D,4,p04,Drilling Operations Engineer,DRILLING & WELLS,Landmark WellPlan / Compass / Sysdrill,HPHT Wellhead Blowout Preventer (BOP) Stack,Drillstring Torque & Drag Friction Factor,friction,22,₹22 Cr / yr,3s vs 2 Hrs,Soft-string model friction factors guessed; drillstring stalls out.,Inverted hookload telemetry matcher updating true cased/open hole friction.,,,,,
D5,D,5,p04,Drilling Operations Engineer,DRILLING & WELLS,Landmark WellPlan / Compass / Sysdrill,HPHT Wellhead Blowout Preventer (BOP) Stack,Kick Tolerance & Influx Volume Envelope,critical,110,₹110 Cr / yr,1s vs 30 Mins,Driller accepts gas influx larger than kick tolerance; gas breaches surface.,Dynamic kick tolerance calculator updating maximum allowable shut-in casing pressure.,kick_tolerance_sentinel,projects/og-enterprise-prod/locations/us-central1/agents/kick_tolerance_sentinel,Planned Wave 1,kick-sentinel@og-enterprise-prod.iam.gserviceaccount.com,Google ADK + Well Control
D6,D,6,p04,Drilling Operations Engineer,DRILLING & WELLS,Landmark WellPlan / Compass / Sysdrill,HPHT Wellhead Blowout Preventer (BOP) Stack,3:00 AM Graveyard Shift Driller Handover,critical,50,₹50 Cr / yr,Instant vs Missed,Verbal morning report misses 2m depth shift; driller tags unexpected high pressure.,Shift Sentinel: Cross-references mudlog gas peaks, torque spikes, and DDR notes.,,,,,
D7,D,7,p04,Drilling Operations Engineer,DRILLING & WELLS,Landmark WellPlan / Compass / Sysdrill,HPHT Wellhead Blowout Preventer (BOP) Stack,Drill bit Selection & Specific Energy (MSE),baseline,16,₹16 Cr / yr,1s vs Post-Mortem,Dull PDC bit run past economic limit; Mechanical Specific Energy triples.,Real-time MSE surveillance agent tracking bit efficiency dynamically.,,,,,
D8,D,8,p04,Drilling Operations Engineer,DRILLING & WELLS,Landmark WellPlan / Compass / Sysdrill,HPHT Wellhead Blowout Preventer (BOP) Stack,Bottom-Hole Assembly (BHA) Sag Correction,baseline,14,₹14 Cr / yr,2s vs 1 Hr,Inclinometer sensor sag in high-angle well produces 1.5m TVD error.,Finite element BHA mechanical deflection agent calculating exact geometric TVD.,,,,,
D9,D,9,p04,Drilling Operations Engineer,DRILLING & WELLS,Landmark WellPlan / Compass / Sysdrill,HPHT Wellhead Blowout Preventer (BOP) Stack,Wellbore Breathing vs Real Loss Identification,friction,28,₹28 Cr / yr,4s vs 3 Hrs,Crew misinterprets ballooning formation as real mud loss, weighting up mud.,Flowback signature deconvolution agent separating ballooning from lost circulation.,,,,,
D10,D,10,p04,Drilling Operations Engineer,DRILLING & WELLS,Landmark WellPlan / Compass / Sysdrill,HPHT Wellhead Blowout Preventer (BOP) Stack,Casing Centralization & Standoff Model,baseline,18,₹18 Cr / yr,5s vs 2 Hrs,Low centralizer standoff causes mud channeling and wet cement bond.,API Spec 10D standoff optimizer calculating centralizer spacing for 80%+ standoff.,,,,,
D11,D,11,p04,Drilling Operations Engineer,DRILLING & WELLS,Landmark WellPlan / Compass / Sysdrill,HPHT Wellhead Blowout Preventer (BOP) Stack,Surge and Swab Pressure Envelope Check,critical,75,₹75 Cr / yr,0.5s vs Rule of Thumb,Tripping pipe out too fast swabbing massive gas kick into wellbore.,Dynamic surge/swab velocity governor limiting trip speeds to safe pore-fracture window.,,,,,
D12,D,12,p04,Drilling Operations Engineer,DRILLING & WELLS,Landmark WellPlan / Compass / Sysdrill,HPHT Wellhead Blowout Preventer (BOP) Stack,Dynamic Well Control Kill Sheet Compilation,critical,85,₹85 Cr / yr,1s vs 25 Mins,Wait-and-weight calculations manually compiled during kick; panic math error.,Automated Wait-and-Weight kill sheet agent calculating exact pressure schedules.,,,,,
D13,D,13,p04,Drilling Operations Engineer,DRILLING & WELLS,Landmark WellPlan / Compass / Sysdrill,HPHT Wellhead Blowout Preventer (BOP) Stack,Rate of Penetration (ROP) Drilling Parameter,baseline,15,₹15 Cr / yr,2s vs 1 Hr,Driller hunts for optimal WOB/RPM manually; rate of penetration stalls.,Drill-off test optimization agent recommending sweetspot WOB/RPM parameters.,,,,,
D14,D,14,p04,Drilling Operations Engineer,DRILLING & WELLS,Landmark WellPlan / Compass / Sysdrill,HPHT Wellhead Blowout Preventer (BOP) Stack,Bit Hydraulics & Total Flow Area (TFA) Match,baseline,12,₹12 Cr / yr,3s vs 1 Hr,Nozzle sizing creates suboptimal bottom-hole cleaning; balling up bit teeth.,Jet impact force and hydraulic horsepower per square inch optimizer.,,,,,
D15,D,15,p04,Drilling Operations Engineer,DRILLING & WELLS,Landmark WellPlan / Compass / Sysdrill,HPHT Wellhead Blowout Preventer (BOP) Stack,Daily Drilling Report (DDR) NPT Ledger Audit,friction,20,₹20 Cr / yr,5s vs 4 Hrs,Standby hours and tool failures categorized vaguely to avoid penalties.,Sovereign DDR classification agent matching telemetry logs to billing codes in BigQuery.,,,,,
E1,E,1,p05,Drilling Fluids & Mud Chemist,DRILLING & WELLS,M-I SWACO Virtual Mud / DFG,Active Mud Circulating Shakers & Mud Pit Room,HPHT Mud Rheology & Barite Sag Prediction,critical,65,₹65 Cr / yr,3s vs 4 Hrs,Viscosity collapse at 180°C leads to barite sag and loss of hydrostatic head.,HPHT yield stress predictor with barite sag early-warning model.,,,,,
E2,E,2,p05,Drilling Fluids & Mud Chemist,DRILLING & WELLS,M-I SWACO Virtual Mud / DFG,Active Mud Circulating Shakers & Mud Pit Room,Active Mud Pit Volume Totalizer (PVT) Balance,critical,80,₹80 Cr / yr,0.5s vs 40 Mins,Pit level drift masked by transfers; 15-bbl gas kick goes unnoticed 40 mins.,Mass-balanced automated pit level sentinel filtering out rig heave and transfers.,,,,,
E3,E,3,p05,Drilling Fluids & Mud Chemist,DRILLING & WELLS,M-I SWACO Virtual Mud / DFG,Active Mud Circulating Shakers & Mud Pit Room,Low-Gravity Solids (LGS) Accumulation Monitor,friction,18,₹18 Cr / yr,4s vs 2 Hrs,Shaker screen bypass increases drilled solids; destroys penetration rate.,Real-time LGS mass accumulation tracker calculating screen blinding.,,,,,
E4,E,4,p05,Drilling Fluids & Mud Chemist,DRILLING & WELLS,M-I SWACO Virtual Mud / DFG,Active Mud Circulating Shakers & Mud Pit Room,Oil-Base Mud (OBM) Emulsion Stability,baseline,14,₹14 Cr / yr,2s vs 1 Hr,Water droplet coalescence in invert emulsion causes open-hole collapse.,Electrical stability voltage trend tracker warning of water wetting.,,,,,
E5,E,5,p05,Drilling Fluids & Mud Chemist,DRILLING & WELLS,M-I SWACO Virtual Mud / DFG,Active Mud Circulating Shakers & Mud Pit Room,Gas-Cut Mud Degasser Performance Monitoring,critical,50,₹50 Cr / yr,2s vs 1 Hr,Vacuum degasser efficiency drops; recirculated gas reduces mud density.,Continuous mud density-in vs density-out mass balance verifying degasser efficiency.,,,,,
E6,E,6,p05,Drilling Fluids & Mud Chemist,DRILLING & WELLS,M-I SWACO Virtual Mud / DFG,Active Mud Circulating Shakers & Mud Pit Room,Salt Inflow & Contamination Detection,friction,20,₹20 Cr / yr,3s vs 2 Hrs,Drilling through subterranean salt causes flocculation; viscosity spikes.,Downhole ionic conductivity and chloride balance sentinel detecting salt entry.,,,,,
E7,E,7,p05,Drilling Fluids & Mud Chemist,DRILLING & WELLS,M-I SWACO Virtual Mud / DFG,Active Mud Circulating Shakers & Mud Pit Room,Dynamic Filter Cake Permeability Model,critical,70,₹70 Cr / yr,4s vs 3 Hrs,Thick filter cake forms across permeable sand; differential pipe sticking.,API/HPHT filtration loss model predicting mudcake thickness and sticking force.,,,,,
E8,E,8,p05,Drilling Fluids & Mud Chemist,DRILLING & WELLS,M-I SWACO Virtual Mud / DFG,Active Mud Circulating Shakers & Mud Pit Room,Invert Emulsion Oil-Water Ratio (OWR) Trim,baseline,12,₹12 Cr / yr,2s vs 12 Hrs,Retort distillation measurements manually logged once per 12 hours.,Continuous retort mass-balance estimator tracking real-time OWR.,,,,,
E9,E,9,p05,Drilling Fluids & Mud Chemist,DRILLING & WELLS,M-I SWACO Virtual Mud / DFG,Active Mud Circulating Shakers & Mud Pit Room,Clay Hydration & Cation Exchange Capacity,baseline,15,₹15 Cr / yr,3s vs 2 Hrs,Reactive smectite shales strip potassium ions; hole sloughs.,Methylene Blue Capacity ion-depletion tracker adjusting KCl/glycol additions.,,,,,
E10,E,10,p05,Drilling Fluids & Mud Chemist,DRILLING & WELLS,M-I SWACO Virtual Mud / DFG,Active Mud Circulating Shakers & Mud Pit Room,Thermal Expansion & Fluid Compressibility,baseline,16,₹16 Cr / yr,4s vs 2 Hrs,Deepwater cold riser cooling increases mud density while downhole heating thins it.,Coupled thermal-hydraulic wellbore density profiler updating true downhole TVD.,,,,,
